N°,Objetivo del Indicador,Tipo de indicador,Nombre del indicador,Categoría del indicador,CR, Relación con CADP Director del indicador,Fórmula de cálculo,Unidad de Medida,Medios de Verificación ,Notas
16,Dar oportuna respuesta a los pronunciamientos sobre la Ley 21.040,Reformulado,"Porcentaje de pronunciamientos sobre la ley 21.040, respondidos de acuerdo al nivel de servicio acordado",Dirección ,Dirección ,Gestión institucional: control interno,(Número de pronunciamientos sobre la ley 21.040 respondidos de acuerdo al nivel de servicio acordado en el año t/Total de solicitudes de pronunciamientos recepcionadas sobre la ley 21.040 en el año t) *100,Porcentaje,"1. Solicitudes de pronunciamientos sobre la ley 21.040
2. Pronunciamientos sobre la ley 21.040 respondidos
3. Registro de tiempos de resolución de las solicitudes de pronunciamientos sobre la ley 21.040","Para el cálculo del denominador:
1. Las solicitudes recepcionadas se contabilizan hasta el 31 de octubre y deben ser registrados los tiempos de respuesta.
Para el cálculo del numerador:
1. El nivel de servicio acordado considera un plazo menor o igual a 30 días hábiles, contados desde el día hábil siguiente a la recepción (mediante libro u otro medio de registro) de la solicitud de pronunciamientos sobre la ley 21.040.
Sobre el indicador:
1. Las solicitudes de pronunciamientos sobre la ley 21.040 solo pueden ser solicitados por Director (a) del Servicio mediante memorándum u oficio al centro de responsabilidad.
2. Se entiende un pronunciamiento como respondido cuando la respuesta es enviada mediante memorándum u oficio u otro medio de registro al requirente."
17,Establecer el proceso de control interno,Nuevo,Porcentaje de observaciones contenidas en los informes finales de Auditoría interna del año t-1 que son subsanadas en el año t.,Dirección ,Dirección ,Gestión institucional: control interno,(Número de Observaciones de los informes finales de Auditoria interna Subsanadas en el año t/Número de Observaciones contenidas en los informes finales de Auditoria interna del año t-1 por subsanar)*100,Porcentaje,"1. Informes Finales de Auditoría Interna del año t-1.
2. Oficio CAIGG con ""Instrucciones sobre información a enviar al Consejo de Auditoria General de Gobierno"" del año t.
3. Informes de Seguimientos de Auditoría Interna de observaciones subsanadas
4. Planilla de seguimiento CAIGG.","Para el cálculo del denominador:
1. Se entiende por informes finales a los trabajos de auditoría interna contemplados en el plan anual de auditoría año t-1, considerando solamente las auditorías exigidas por el CAIGG. Este informe debe estar disponible en enero del año t.
Para el cálculo del numerador:
1. Se entiende por informes de seguimiento a los trabajos de seguimiento contemplados en el plan anual de auditoría del año t, considerando solamente las auditorías exigidas por el CAIGG.
Sobre el indicador:
1. Los informes de seguimiento de Auditoría interna y la planilla de seguimiento CAIGG, deberán ser enviados mediante oficio al CAIGG en la fecha establecida por el CAIGG mediante oficio ""Instrucciones sobre información a enviar al Consejo de Auditoria General de Gobierno"" .
2. Los informes de seguimiento de observaciones subsanadas deberán ser con corte de reporte, de acuerdo a lo establecido por el CAIGG en oficio conductor, y deben estar validados por el / la Jefe/a del área y enviado por correo electrónico o memorándum al Jefe de Servicio.
3. No serán considerados en el cumplimiento, aquellas observaciones que dependan de tramitaciones y gestión de otras instituciones (CGR, auditoria Ministerial -Mineduc- DEP)."
18,Procurar por el cumplimiento del nivel de servicio acordado para las respuestas de requerimientos parlamentarios,Reformulado,Porcentaje de requerimientos parlamentarios respondidos que cumplen con el nivel de servicio acordado.,Dirección ,Dirección ,Gestión institucional: control interno,(Número de requerimientos parlamentarios respondidos que cumplen con el nivel de servicio acordado en el año t/Total de requerimientos parlamentarios recibidos en el año t) *100,Porcentaje,"1. Solicitudes de requerimientos parlamentarios
2. Registro de los tiempos del nivel de servicio acordado.","Para el cálculo del denominador:
1. Las solicitudes de requerimientos parlamentarios deben ser realizada por el Departamento Jurídico de la DEP, mediante oficio al área Jurídica del SLEP.
y las solicitudes parlamentarias que ingresen directamente al Servicio se considerarán en el universo y contarán con 10 días hábiles como plazo de respuesta, lo que debe ser informado a la DEP.
Para el cálculo del numerador:
1 El nivel de servicio acordado considera un plazo menor o igual a 10 días hábiles, contados desde el día hábil siguiente a la recepción (mediante libro u otro medio de registro) de la solicitud del requerimiento, y hasta que esta se encuentra respondida.
2. El requerimiento se considera respondido cuando la repuesta es despachada mediante libro u otro medio de registro a la parte requirente.
Sobre el indicador
1. Entrarán a la medición del indicador todas aquellas solicitudes que ingresen hasta el 18 de noviembre del año t.
2. En caso no ingresen solicitudes parlamentarias, se da por cumplido el indicador "
19,Difundir los proyectos de infraestructura realizados en los Establecimientos Educacionales del SLEP en el año t ,Reformulado,Porcentaje de videos informativos difundidos de proyectos de infraestructura escolar terminados en el año t,Dirección ,Planificación y control de gestión,Gestión institucional: control interno,(Número de videos informativos difundidos de proyectos de infraestructura escolar terminados en el año t / Número de proyectos de infraestructura terminados en el año t)*100,Porcentaje,"1. Videos informativos difundidos por establecimiento.
2. Listado de proyectos de infraestructura terminados en el año t
3. Informe de cumplimiento. ","Para el cálculo del denominador:
1. El Listado de proyectos de infraestructura terminados, será con corte a diciembre y deberá: 
a) Señalar la Nómina de Establecimientos con proyectos de infraestructura escolar terminados en el año t.
b) Certificados de recepción de obra provisoria sin observaciones.
c) Presupuesto del proyecto firmado que evidencia las partidas de infraestructura intervenidas.
Para el cálculo del numerador:
1. Los videos informativos deberán contener al menos lo siguiente:
a) Mostrar la infraestructura escolar intervenida en el proyecto.
b) Una persona del equipo directivo del establecimiento deberá comentar el impacto generado para la comunidad educativa.
c) Un apoderado del establecimiento deberá comentar respecto al proyecto ejecutado.
Sobre el indicador:
1. Los videos serán difundidos en el sitio web del Servicio y en al menos una red social institucional. 
2. El informe de cumplimiento deberá tener corte a diciembre y contener:
a) Nómina con proyectos de infraestructura escolar terminados en el año t
b) Pantallazos y link de video disponible en sitio web, y al menos una red social institucional.
3. El informe de cumplimiento deberá ser validado por el Jefe del centro de responsabilidad y enviado a través de memorándum o correo electrónico al Director/a Ejecutivo/a del Servicio
"
20,Mejorar la gestión interna del Servicio,Reformulado,"Porcentaje de Pronunciamientos sobre la ley 21.040 y/o Normativa Educativa, respondidos de acuerdo al nivel de servicio acordado",Dirección ,Dirección ,Gestión institucional: control interno,"(Número de pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa, respondidos de acuerdo al nivel de servicio acordado en el año t/Total de solicitudes de pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa recepcionadas en el año t) *100",Porcentaje,"1. Solicitudes de pronunciamientos sobre la Ley 21.040 y/o normativa educativa.
2. Pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa.
3. Registro de tiempos de resolución de las solicitudes de pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa.
","Para el cálculo del denominador:
1. Las solicitudes recepcionadas se contabilizan hasta el 31 de octubre y deben ser registrados los tiempos de respuesta.
Para el cálculo del numerador:
1. El nivel de servicio acordado considera un plazo menor o igual a 30 días hábiles, contados desde el día hábil siguiente a la recepción (mediante libro u otro medio de registro) de la solicitud de pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa.
Sobre el indicador:
1. Las solicitudes de pronunciamientos sobre la Ley 21.040 y/o normativa educativa, sólo pueden ser solicitados por Director (a) del Servicio mediante memorándum u oficio.
2. Las respuestas serán respondidas mediante memorándum u oficio u otro medio de registro al requirente.
3. El formato para registro de tiempos de resolución de las solicitudes de pronunciamientos sobre la Ley 21.040 y/o Normativa Educativa será de elaboración propia y deberá contener las fechas de recepción, fecha de respuesta y el cálculo de los tiempos de respuesta.
4. Los medios de verificación deben contemplar un envío al corte del primer semestre y otro al cierre del periodo. Los medios de verificación se deben enviados por el jefe del centro de responsabilidad vía correo electrónico al jefe de servicio.
2. Se entiende un pronunciamiento como respondido cuando la respuesta es enviada mediante memorándum u oficio al Director del Servicio."
21,Establecer una comunicación eficaz de la información entre los diversos actores involucrados en las fases del Proceso de Gestión de Riesgos. ,Nuevo,Porcentaje de actividades del Plan de comunicación y Consulta del Proceso de Gestión de Riesgos implementadas en el año t. ,Dirección ,Planificación y control de gestión,Gestión institucional: control interno,(N° de actividades del Plan de comunicación y Consulta del Proceso de Gestión de Riesgos implementadas en el año t / N° de total de actividades planificadas del Plan de Comunicación y Consulta del Proceso de Gestión de Riesgos en el año t) *100,Porcentaje,"1. Plan de Comunicación y Consulta del Proceso de Gestión de Riesgos
2. Informe de avance del Plan de comunicación y Consulta del Proceso de Gestión de Riesgos
3. Informe de Cumplimiento del Plan de comunicación y Consulta del Proceso de Gestión de Riesgos ","Para el cálculo del denominador:
1.El Plan de Comunicación y Consulta debe estar validado por el jefe/a del Centro de Responsabilidad y formalizado a más tardar en el mes de marzo del año t, mediante el envío del Plan al Director Ejecutivo, a través de un memorándum o correo electrónico. 
2. Las actividades del plan deben definir la fecha programada para su ejecución y los medios de verificación. 
3. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
22,Procurar por que la comunidad educativa del territorio conozca las acciones del Servicio Local,Reformulado,Porcentaje de cumplimiento del Plan comunicacional del SLEP ,Dirección ,Dirección ,Gestión institucional: control interno,(Número de actividades ejecutadas en el año t del Plan comunicacional del SLEP / Número total de actividades del Plan comunicacional del SLEP para el año t)*100,Porcentaje,"1. Plan comunicacional del SLEP 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El plan comunicacional del Slep:
a) Debe estar aprobado por el Jefe/a del Servicio a más tardar el 31 de marzo.
b) Ser enviado mediante correo electrónico u oficio a la contraparte de comunicaciones de la Dirección de Educación Pública.
2. Las iniciativas del plan comunicacional del Slep deben corresponder a temáticas como:
-Difusión de EE educacionales según efemérides y actividades del calendario año escolar.
-Difusión de acompañamiento vitrina SAE
-Difusión de proyectos de infraestructura
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
23,Procurar que la comunidad educativa del territorio conozca los objetivos del PEL,Reformulado,Porcentaje de cumplimiento del Plan Comunicacional para difundir los objetivos del PEL y las acciones del Plan Anual,Dirección ,Dirección ,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan Comunicacional para difundir los objetivos del PEL y acciones del Plan Anual/ Número total de hitos planificados en el Plan Comunicacional para difundir los objetivos del PEL y acciones del Plan Anual para el año t)*100,Porcentaje,"1. Plan comunicacional formalizado
2. Informe de avance
3. Informe de cumplimiento ","Para el cálculo del denominador:
1. El Plan Comunicacional debe:
a) Estar validado por el jefe/a del área a más tardar en marzo y enviado en el mismo mes al Director Ejecutivo a través de un memorándum o correo electrónico.
b) Contener hitos, fechas de programación y medios de verificación asociados.
c) Contener hitos enfocados en:
- gestión de medios externos (medios tradicionales: nacionales y regionales; y medios especializados)
- comunicaciones internas (por los canales de uso del SLEP)
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan Sobre el indicador:
2. Se entiende por PEL al Plan Estratégico Local
"
24,Establecer una valorización de nuestros usuarios y beneficiarios con respecto a la atención recibida por parte del SLEP,Nuevo,Porcentaje de formularios de experiencias usuarias respondidas en el año t,Dirección ,Dirección ,Gestión institucional: control interno,(número de formularios de experiencias usuarias respondidas en el año t/ número total de atenciones ciudadanas recibidas en el año t)*100,Porcentaje,"1. Formulario tipo de experiencias usuarias.
2. Informe de avance
3. Informe de cumplimiento","Para el cálculo del denominador:
1. Las atenciones ciudadanas recibidas corresponden al total de atenciones entregadas a usuario/beneficiario en el SLEP por el área de atención ciudadana
Para el cálculo del numerador:
1. Se considerarán los formularios respondidos aquellos que estén respondidos completos a todas las preguntas.
Sobre el indicador:
1. Los informes de avance y el de cumplimiento:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
2. Se entiende por ""experiencia usuaria"" a la valorización que asigna el usuario/beneficiario a la atención recibida en el SLEP en el área de atención ciudadana.
3. La medición de la ""experiencia usuaria"" se realiza a través de la completitud del formulario entregado en el área de atención ciudadana en el SLEP y almacenado en archivos de base de datos del centro de responsabilidad."
25,Generar una base de conocimiento y buenas prácticas mediante la estandarización y divulgación de procedimientos y/o instructivos ,Reformulado,Porcentaje de procedimientos y/o instructivos formalizados en el año t ,Dirección ,,Gestión institucional: control interno,(Número de procedimientos y/o instructivos formalizados en el año t /Número de procedimientos y/o instructivos planificados a formalizar en el año t) *100,Porcentaje,"1. Planificación de Procedimientos y/o instructivos a formalizar
2. Procedimientos y/o Instructivos formalizados.
3. Informe de avance de los procedimientos y/o instructivos formalizados. 
4. Informe de cumplimiento de los procedimientos y/o instructivos formalizados. ","Para el cálculo del denominador:
1. La planificación de procedimientos y/o instructivos:
a) Debe considerar la elaboración y formalización de procedimientos y/o instructivos, señalando las áreas que el servicio trabajará.
b) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
2. El plan puede ser modificado solamente hasta junio, en sus actividades procedimientos y/o instructivos programados con posterioridad a la fecha de la modificación.
Para el cálculo del numerador:
1. Se entenderá un procedimiento y/o instructivo por formalizado cuando el jefe del servicio apruebe por medio de su firma el documento elaborado.
Sobre el indicador:
1. El informe de avance y de cumplimiento:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte."
26,Generar base de conocimientos y buenas prácticas a través del levantamiento de procesos AS IS del Servicio,Reformulado,Porcentaje de procesos AS IS levantados,Dirección ,Dirección ,Gestión institucional: control interno,(Número de procesos AS IS levantados /Número de procesos AS IS planificados a levantar) *100,Porcentaje,"1. Plan de levantamiento de procesos AS IS
2. Informe de avance
3. Informe de cumplimiento","Para el cálculo del denominador:
1. El Plan de Levantamiento de procesos AS IS:
a) Debe contener los nombres de los procesos que serán levantados, las fechas de compromiso y el medio de verificación de su cumplimiento.
b) Debe estar formalizado a más tardar en el mes de marzo del año t, mediante el envío de la versión validada desde el centro de responsabilidad a Jefe del servicio.
2. El plan puede ser modificado hasta el 30 de junio, modificándose sólo los hitos programados con posterioridad a la fecha de modificación del plan
Para el cálculo del numerador:
1. Se entiende por Proceso AS IS levantado a la descripción de la situación actual de los procesos, documentado mediante un diagrama de flujo de proceso y descripción de actividades del proceso.
Sobre el indicador:
1. El Informe de avance del Plan de Levantamiento de procesos As Is con los medios de verificación declarados con corte a junio, debe ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
2. El Informe de cumplimiento del Plan de Levantamiento de procesos As Is será con corte al a diciembre con los medios de verificación declarados y debe ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte."
27,Mejorar la gestión interna del Servicio,Nuevo,"Porcentaje de Solicitudes de Acceso a la Información Pública respondidas que cumplen con el nivel de servicio acordado.
",Dirección ,Dirección ,Gestión institucional: control interno,(Número de solicitudes de acceso a la información pública respondidas en año t en un plazo menor o igual a 20 días hábiles en año t / Número de solicitudes de acceso a la información pública respondidas en año t) *100 ,Porcentaje,"1. Informe de Avance
2. Informe de Cumplimiento
3. Base de datos con los registros consolidados de los tiempos de respuestas","Sobre el denominador
1. Las solicitudes de acceso a la información pública respondidas corresponden a aquellas finalizadas entre el 1 de enero y el 31 de diciembre del año t, independiente de su fecha de ingreso.

Sobre el numerador 
1. Las solicitudes de acceso a la información pública respondidas corresponden a aquellas en que la respuesta fue entregada, derivada, está a la espera de retiro de la información o fue desistida.

Sobre el indicador
1. El nivel de servicio acordado considera un plazo menor o igual a 20 días hábiles administrativos, contados desde el día hábil siguiente a la recepción de solicitud de acceso a la información pública. 
2.Las solicitudes de acceso a la información pública son recibidas a través de la plataforma ""Portal de Transparencia del Estado"".
"
28,"Desarrollar una eficaz gestión en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,Porcentaje de cumplimiento del Plan de aprovisionamiento de los establecimientos educativos(E.E).,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de hitos cumplidos en el año t del Plan de aprovisionamiento de los E.E / Número total de hitos del Plan de aprovisionamiento de los E.E para el año t) * 100,Porcentaje,"1. Plan de aprovisionamiento de los establecimientos educativos
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de aprovisionamiento de los establecimientos educativos del territorio:
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t.
b) Contener los hitos, fechas y medios de verificación correspondientes.
c) Contener al menos un hito con medición de impacto y/o resultados logrados con el aprovisionamiento de servicios
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
29,Asegurar la sostenibilidad financiera según los recursos disponibles.,Reformulado,Porcentaje de cumplimiento del Plan de ejecución de la Subvención Escolar Preferencia (SEP),Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de hitos cumplidos en el año t del Plan de ejecución de la SEP/ Número total de hitos del Plan de ejecución de la SEP para el año t)*100,Porcentaje,"1. Plan de ejecución de la Subvención Escolar Preferencia (SEP)
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de ejecución recursos SEP (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe detallar los establecimientos educacionales contemplados en el Plan con sus respectivas SEP.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
30,Gestionar eficiente y eficazmente los recursos por medio de la planificación e implementación de procesos que permitan una correcta ejecución presupuestaria del Servicio.,Reformulado,Porcentaje de cumplimiento del Plan de seguimiento de la ejecución gestión presupuestaria ,Administración y finanzas,,Gestión institucional: presupuesto,(Número de hitos cumplidos del Plan de seguimiento de la ejecución gestión presupuestaria/ Número total de hitos del Plan de seguimiento de la ejecución gestión presupuestaria) * 100,Porcentaje,"1. Plan de seguimiento de la ejecución gestión presupuestaria
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. 1. El Plan de seguimiento de la ejecución gestión presupuestaria (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
31,Asegurar la sostenibilidad financiera según los recursos disponibles.,Reformulado,"Porcentaje de ejecución de los subtítulos 21, 22 y 29 del Programa 02 del servicio",Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,"(Monto ejecutado en el año t de los subtítulos 21, 22 y 29 del programa 02 del servicio / Monto total del ingreso percibido en el año t para los subtítulos 21, 22 y 29 del programa 02 ) * 100",Porcentaje,1. Informes con registro SIGFE de la ejecución presupuestaria,"Para el cálculo del denominador:
1. El indicador mide la ejecución del presupuesto de los subtítulos 21, 22 y 29 del programa 02 de los SLEP
2. Se consideran los subtítulos 21, 22 y 29 del programa 02 en el año t

Para el cálculo del numerador:
1. Se entiende por ingresos percibidos asignados para los subt. 21, 22 y 29, los ingresos percibidos en los subt. 05, 09 y los establecidos por ley en el Subt. 08. del programa 02 en el año t.
Sobre el indicador:
1. Los informes con registro SIGFE tendrán fecha de corte los meses abril, agosto y diciembre 
2. Monto ejecutado en base a devengado
3. Considera las variaciones presupuestarias del año t."
32,Mejorar la Gestión Interna del Servicio.,Reformulado,Porcentaje de rendiciones de cuentas a JUNJI entregadas correctamente en el año t,Administración y finanzas,Planificación y control de gestión,Gestión institucional: presupuesto,(Número de rendiciones a JUNJI entregadas correctamente en el año t/ Número total de rendiciones de cuentas planificadas a entregar a JUNJI en el año t)*100,Porcentaje,"1. Oficio con la rendición a JUNJI.
2. Correo desde JUNJI con la validación de la rendición o correo que informa los ingresos del próximo periodo.
3. La planificación de rendiciones de cuentas a JUNJI.","Para el cálculo del denominador:
1. La planificación de rendiciones de cuentas a JUNJI debe estar validado por el/la jefa de área en febrero del año t y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a) en el mismo mes.
Para el cálculo del numerador:
1. Para efectos de la medición, se consideran los informes de los meses de enero (envío en febrero) a noviembre (envío en diciembre).
Sobre el indicador:
1. Las rendiciones corresponden a las realizadas para JUNJI.
2. Se entiende por rendición entregada correctamente, a aquella que es validada/aprobada por JUNJI vía correo o el correo que informa los ingresos del próximo período . "
33,Ejecutar el plan de compras del servicio,Reformulado,Porcentaje de ejecución del monto del Plan de Compras Públicas en el año t.,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Monto ejecutado del Plan de Compras Públicas en el año t / Monto total planificado del Plan de Compras Públicas en el año t) * 100,Porcentaje,"1. Plan de compras públicas formalizado mediante resolución.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de compras:
a) Debe Considerar el programa 01 y 02
b) Se debe ajustar al reglamento e instrucciones elaboradas por Chilecompra y ser publicado en Mercado Público a más tardar en enero del año t
c) Estar formalizado y aprobado por el jefe de servicio mediante resolución a más tardar en enero del año t
d) Contener los proyectos con sus respectivas fechas programadas
2. El plan puede ser modificado conforme a los estipulado en el reglamento y la ley de compras públicas durante todo el periodo de año t.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.
Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
34,Fomentar una mejor gestión de los activos físicos de los establecimientos educacionales del territorio,Reformulado,Porcentaje de establecimientos con inventario de activo fijo actualizados,Administración y finanzas,Administración y finanzas,Gestión institucional: control interno, (Número de establecimientos educacionales que cuentan con inventario de activo fijo actualizado al año t/Número total de establecimientos educacionales del servicio local vigentes al año t)*100,Porcentaje,"1. Inventario de activo fijo por Establecimiento Educacional
2. Listado de total de establecimientos vigentes al año t
3. Informe de avance 
4. Informe de cumplimiento
","Para el cálculo del denominador:
1. Se entiende que el inventario de activo fijo es para el total de establecimientos educacionales del servicio local. 
2. El listado de establecimientos vigentes al año t debe estar validado por el jefe del centro de responsabilidad a más tardar en marzo y enviado al Jefe de Servicio mediante memorándum o correo electrónico.

Para el cálculo del numerador:
1. Se entiende por inventario del ""activo fijo"" actualizado aquel que considera todos los movimientos asociados al ciclo de vida de este, durante el periodo de medición.

Sobre el indicador:
1. El informe de avance debe: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Director(a) Ejecutivo (a)
2. El informe de cumplimiento debe: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Director(a) Ejecutivo (a)"
